Name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
A. T. Ariyaratne,3.875,3.0,3.778,2.5,2.6
A.H.M. Noman Khan,1.75,3.222,2.667,3.375,3.5
Abdon Nababan,2.875,2.889,2.444,2.375,3.3
Abdul Razak Hussein,3.0,2.889,2.444,4.125,4.0
Abdul Samad Ismail,3.0,3.111,4.0,3.25,2.9
Abdul Sattar Edhi,2.75,2.333,3.111,2.875,2.8
Abdullah Abu Sayeed,3.25,4.111,2.667,3.125,2.9
Abdurrahman Wahid,2.75,2.778,2.0,2.0,2.7
Abel Muzorewa,2.5,2.556,3.889,3.25,2.8
Abiy Ahmed Ali,3.25,2.333,2.556,1.25,3.3
Adam Łopatka,2.5,3.111,2.778,4.0,3.3
Adeebul Hasan Rizvi,2.25,2.778,2.778,2.25,2.5
Adolfo Pérez Esquivel,4.25,2.778,4.333,3.875,3.6
Ahmad Syafi'i Maarif,2.625,3.444,2.778,2.625,2.5
Akhtar Hameed Khan,3.625,2.556,3.556,2.25,4.1
Akira Kurosawa,2.875,3.111,3.556,2.375,2.8
Al Gore,2.75,3.667,2.556,1.625,3.0
Albert John Mvumbi Luthuli,2.125,3.0,3.333,2.25,3.1
Albert Schweitzer,2.5,3.111,4.0,2.0,2.0
Ales Bialiatski,2.625,3.111,3.222,2.875,2.9
Alfonso García Robles,2.125,3.444,2.111,2.625,2.2
Alfred Hermann Fried,3.0,3.556,2.667,3.375,2.7
Alfredo Bengzon,2.875,2.333,2.222,2.75,1.9
Ali Sadikin,3.0,2.222,3.222,2.875,1.8
Aloysius Schwartz,4.25,3.778,3.0,3.5,2.5
Alva Myrdal,3.375,2.778,2.778,2.75,2.5
Ambrosius Ruwindrijarto,3.875,2.111,3.222,3.25,3.2
Amitabha Chowdhury,3.875,2.667,3.222,2.75,3.6
Anand Panyarachun,1.375,3.444,2.444,2.875,2.7
Ananda Galappatti,3.875,3.556,2.556,2.625,3.6
Andrei Sakharov,2.875,2.333,3.0,2.5,2.7
Angel Alcala,2.625,2.778,2.444,1.625,2.4
Angela Gomes,3.5,3.667,2.444,2.25,2.5
Angelina Acheng Atyam,1.625,2.889,3.0,2.375,3.1
Angkhana Neelaphaijit,3.0,4.889,2.778,3.0,2.6
Aniceto Guterres Lopes,3.125,3.889,2.889,3.125,3.4
Anna Šabatová,2.875,3.333,2.889,3.0,3.0
Anshu Gupta,3.25,3.333,3.444,2.25,2.7
Anton Soedjarwo,3.125,2.889,3.0,2.0,3.5
Antonio Fortich,3.0,2.778,3.778,2.875,3.7
Antonio Oposa,3.875,3.111,3.222,2.875,2.8
Anwar Sadat,3.75,3.0,3.111,1.875,3.8
Aristide Briand,2.75,2.667,2.333,2.75,3.5
Arthur Henderson,3.0,3.222,3.333,2.25,3.5
Arturo Alcaraz,3.0,2.778,2.556,3.5,2.3
Arun Shourie,3.375,2.778,3.222,3.875,3.3
Aruna Roy,3.5,2.889,3.333,3.25,2.7
Arvind Kejriwal,3.375,2.889,2.889,1.625,3.1
Asma Jahangir,3.875,3.889,3.556,3.875,3.1
Atmakusumah Astraatmadja,3.5,3.0,2.556,2.0,2.9
Auguste Beernaert,3.25,3.0,3.667,3.25,3.1
Augustine Joung Kang,3.125,4.111,3.667,1.625,2.4
Aung San Suu Kyi,2.875,3.556,3.222,3.125,3.5
Austen Chamberlain,4.0,2.778,3.222,1.875,2.4
B. C. Shekhar,2.5,3.111,3.333,3.25,2.4
B. G. Verghese,3.25,3.0,4.333,2.5,2.5
Baba Amte,3.375,3.222,2.778,2.375,3.1
Banoo Jehangir Coyaji,3.125,2.222,3.222,2.0,2.9
Barack Obama,3.0,3.111,2.111,1.375,2.6
Benazir Bhutto,3.25,2.111,2.222,2.125,2.5
Benjamin Abadiano,3.5,3.222,2.111,2.875,2.6
Benjamin Galstaun,3.25,4.0,3.444,3.375,2.6
Bertha von Suttner,3.875,2.222,2.333,2.375,3.0
Betty Williams,3.75,2.444,4.0,2.25,2.4
Bezwada Wilson,3.625,2.778,3.222,2.625,3.6
Bharat Koirala,3.25,3.111,2.889,3.375,1.3
Bharat Vatwani,3.375,2.667,2.444,2.75,2.8
Bienvenido Lumbera,2.75,3.556,2.889,2.125,1.7
Bilquis Edhi,3.625,2.667,3.222,3.125,2.6
Biram Dah Abeid,3.125,3.333,2.444,2.875,2.7
Butet Manurung,3.0,3.444,3.444,3.0,3.7
Carl von Ossietzky,2.625,3.222,2.778,2.625,3.0
Carlos Filipe Ximenes Belo,3.125,2.778,3.111,2.25,3.3
Carlos Saavedra Lamas,3.5,3.556,3.111,2.625,3.1
Carolyn Gomes,3.25,3.111,3.333,3.5,3.1
Chamlong Srimuang,2.5,2.889,2.667,3.0,3.5
Chandi Prasad Bhatt,3.375,3.556,3.333,1.875,3.6
Chang Chun-ha,2.0,2.889,3.889,3.875,2.8
Chang Kee-ryo,4.125,3.111,2.444,3.75,2.5
Charles Albert Gobat,3.5,3.778,2.333,2.125,3.0
Charles G. Dawes,2.875,2.222,3.0,3.5,3.6
Chen Guangcheng,3.125,4.111,2.889,3.0,3.0
Chen Shu-chu,1.5,3.778,3.111,2.625,2.4
Cheng Yen,3.5,3.444,3.111,3.625,2.2
Chintaman Dwarkanath Deshmukh,3.375,2.889,3.111,3.125,2.0
Christian Lous Lange,3.25,2.889,3.556,2.625,2.7
Christopher Bernido,2.125,2.889,2.444,1.25,2.0
Chung To,3.0,2.333,3.667,2.875,4.1
Conchita Carpio-Morales,3.0,3.222,3.111,2.625,2.5
Corazon Aquino,2.625,3.333,3.889,2.875,2.5
Cordell Hull,2.75,3.556,2.333,2.125,3.5
Coretta Scott King,3.625,1.889,3.333,3.125,3.2
Cynthia Maung,3.0,3.778,2.444,1.625,3.7
Dag Hammarskjöld,3.125,3.667,3.556,1.75,3.7
Dara Nusserwanji Khurody,3.125,3.444,2.667,3.0,3.0
David Trimble,2.25,3.0,3.111,3.375,3.5
Deep Joshi,4.5,3.0,2.222,1.875,3.2
Deng Pufang,3.625,3.222,2.222,2.25,3.2
Denis Mukwege,3.25,3.111,2.556,4.25,4.3
Desmond Tutu,3.0,3.444,3.889,2.5,2.8
Dita Indah Sari,2.875,3.778,3.111,2.125,3.0
Dmitry Muratov,3.25,2.444,4.0,2.375,3.3
Dominique Pire,3.5,3.667,2.556,3.125,2.5
Dorothy Stang,2.875,2.556,3.556,3.5,3.3
Ediriweera Sarachchandra,3.0,2.778,2.667,3.125,4.0
Eduardo Jorge Anzorena,3.375,3.0,2.889,2.0,4.1
Edward Michael Law-Yone,2.625,2.444,3.222,2.625,3.6
Eisaku Satō,3.125,4.0,3.333,3.875,3.5
Ela Bhatt,3.0,3.889,2.333,2.25,3.5
Eleanor Roosevelt,3.375,3.444,3.0,1.625,3.1
Elie Wiesel,2.75,3.556,3.111,3.5,3.6
Elihu Root,3.125,3.111,3.111,3.25,2.1
Ellen Johnson Sirleaf,3.25,2.889,3.111,2.25,3.2
Elsie Tu,3.625,3.667,2.444,3.0,3.7
Emily Greene Balch,2.375,2.667,3.444,2.0,3.4
Erica-Irene Daes,2.875,3.0,3.111,3.25,3.0
Ernesto Domingo,3.5,3.0,3.556,3.0,2.0
Ernesto Teodoro Moneta,3.0,3.0,3.889,3.125,2.4
Estela Barnes de Carlotto,1.875,3.667,3.778,4.25,2.5
Eugenia Apostol,2.875,2.667,3.444,2.5,1.9
F. Sionil José,3.75,2.444,3.111,2.0,4.0
F. W. de Klerk,3.625,2.556,3.444,2.5,3.3
Fazle Hasan Abed,2.5,2.556,2.333,2.25,2.2
Fe del Mundo,4.125,3.889,2.778,2.375,2.3
Fei Xiaotong,2.5,4.222,3.333,2.125,3.1
Ferdinand Buisson,1.5,4.0,3.556,3.0,2.5
Firdausi Qadri,2.75,4.333,3.778,3.0,3.0
Francisca Reyes-Aquino,3.375,2.556,2.667,2.375,2.9
Frank B. Kellogg,3.5,3.556,4.222,3.25,2.7
Fredrik Bajer,2.5,2.889,3.778,2.125,3.3
Fridtjof Nansen,3.125,3.778,3.333,3.375,2.5
Frédéric Passy,2.75,3.0,3.222,2.625,2.7
Fu Qiping,4.625,3.222,2.444,2.75,3.1
Fua Haripitak,2.25,2.667,3.111,3.0,2.9
Fusae Ichikawa,2.625,2.667,2.444,3.25,3.4
Ganesh Man Singh,3.0,3.222,3.333,2.25,3.1
Gao Yaojie,3.0,3.111,3.778,2.5,2.9
Genevieve Caulfield,3.75,3.444,3.556,3.375,3.0
George Marshall,3.875,2.667,3.444,2.875,1.8
Gerhard Fischer,2.625,3.111,3.667,3.5,3.1
Gethsie Shanmugam,3.0,3.111,3.0,1.75,3.2
Goh Keng Swee,2.625,2.667,3.222,3.25,2.3
Gour Kishore Ghosh,2.125,2.778,3.333,2.625,3.2
Grace Padaca,2.875,3.0,2.889,2.125,2.3
Gus Borgeest,3.0,2.444,3.111,3.375,3.0
Gustav Stresemann,3.25,3.444,3.111,2.75,3.0
HB Jassin,3.5,3.778,3.444,1.625,2.4
Habiba Sarābi,2.125,2.333,2.667,2.25,2.4
Hans Westenberg,3.5,2.889,3.889,3.0,2.9
Harish Hande,2.125,2.333,2.222,3.0,2.4
Harold Ray Watson,3.125,2.889,3.222,3.25,3.0
Hasanain Juaini,2.375,3.889,3.111,2.625,2.7
Hassib Ben Ammar,2.25,2.556,2.333,2.375,3.1
Haydee Yorac,3.375,3.667,3.889,2.625,2.7
Helen Kim,1.625,2.333,3.333,3.75,3.5
Helen Suzman,1.5,3.556,3.111,3.375,3.1
Henning Holck-Larsen,3.5,3.333,3.111,2.375,2.3
Henri La Fontaine,2.75,3.0,3.667,2.5,3.2
Henry Dunant,3.375,2.889,2.556,2.625,3.3
Henry Holland,3.875,3.111,3.444,3.5,3.3
Henry Kissinger,3.0,2.889,2.444,1.25,3.9
"Hilario Davide, Jr.",2.75,2.111,3.0,2.5,3.7
Hiljmnijeta Apuk,1.875,3.556,2.778,2.5,3.2
Hiroshi Kuroki,2.25,3.556,2.0,2.0,2.6
Hjalmar Branting,3.125,3.889,2.667,3.875,4.3
Horace Kadoorie,2.75,3.556,3.0,3.25,3.3
Howard Dee,3.375,2.444,3.444,3.25,1.7
Hsu Shih-chu,2.5,2.0,3.111,1.75,2.9
Hu Shuli,3.375,3.0,2.778,2.875,3.3
Huo Daishan,4.125,2.444,4.111,3.375,3.3
Ibn Abdur Rehman,4.0,2.667,2.556,3.0,2.8
Ikuo Hirayama,2.625,3.222,2.889,2.125,1.7
James B. Reuter,3.25,2.556,2.444,1.75,4.0
James Michael Lyngdoh,4.25,3.0,2.0,4.0,3.4
James P. Grant,3.375,2.778,3.889,4.625,2.9
Jane Addams,1.75,2.778,3.333,3.75,2.7
Jayaprakash Narayan,3.5,2.889,3.444,2.25,3.6
Jesse Robredo,2.75,2.778,3.333,3.75,3.6
Jiang Yanyong,2.75,3.333,3.222,2.375,2.7
Jimmy Carter,2.75,2.778,3.111,3.625,3.6
Jirō Kawakita,2.375,2.778,3.111,4.375,2.7
Jockin Arputham,2.75,2.889,2.333,1.625,2.5
Jody Williams,3.625,2.556,3.444,3.25,3.7
John Boyd Orr,2.375,2.889,4.889,3.375,2.1
John Hume,3.5,2.222,3.333,3.25,2.8
John Mott,2.25,2.556,1.778,2.5,3.0
John Peters Humphrey,2.5,2.778,2.667,2.125,3.5
Jon Ungpakorn,3.5,2.667,2.667,3.0,3.1
Jose Vasquez Aguilar,3.75,3.222,2.111,2.375,3.1
Joseph Rotblat,2.5,3.333,3.333,3.375,2.8
José Gregori,4.125,3.222,3.111,1.875,2.8
José Ramos-Horta,3.5,3.778,1.778,3.125,4.0
Jovito R. Salonga,3.25,2.889,3.556,3.0,3.5
Joênia Wapichana,3.375,2.444,4.667,3.375,2.8
Juan Manuel Santos,2.875,3.222,2.889,2.125,3.0
Julienne Lusenge,3.125,3.667,2.222,1.875,3.4
Julio Tumiri Javier,2.75,3.111,2.667,3.625,3.1
Julius Nyerere,4.0,3.556,2.556,2.5,3.9
K. V. Subbanna,2.125,3.556,2.667,3.0,3.2
Ka Hsaw Wa,2.25,3.0,3.556,2.5,3.5
Kailash Satyarthi,2.875,3.556,3.333,3.125,3.6
Kamaladevi Chattopadhyay,3.0,3.556,3.333,3.25,3.2
Kayser Sung,3.875,3.222,2.667,2.375,3.0
Keo Viphakone,3.125,3.556,2.556,2.25,3.6
Khadija Ryadi,2.75,1.778,3.0,3.0,3.4
Kim Dae-jung,2.75,3.444,3.333,2.875,3.5
Kim Sun-tae,3.875,4.222,2.444,3.125,4.3
Kim Yong-ki,3.0,2.444,2.889,1.625,3.1
Kiran Bedi,3.25,3.889,3.333,2.0,2.5
Klas Pontus Arnoldson,3.125,3.111,3.556,2.25,3.3
Kofi Annan,2.625,3.0,4.0,2.0,2.9
Kommaly Chanthavong,2.625,2.667,2.778,2.0,2.7
Koul Panha,2.125,2.778,2.889,3.0,2.9
Krasae Chanawongse,3.125,3.111,3.556,2.0,3.6
Krisana Kraisintu,2.375,2.222,3.889,3.25,2.5
Kulandei Francis,3.875,3.333,3.222,3.0,3.3
Kwoh-Ting Li,2.75,2.778,2.444,2.125,2.9
Kyaw Thu,3.75,4.0,2.444,3.0,2.9
LaSalle Ishii,2.625,3.556,3.0,3.5,3.9
Lahpai Seng Raw,4.375,2.778,3.222,2.125,1.4
Lakshmi Chand Jain,3.25,3.444,3.889,2.375,2.7
"Lawrence Kadoorie, Baron Kadoorie",2.25,2.222,3.111,2.25,3.4
Laxminarayan Ramdas,2.125,4.111,3.222,3.375,3.5
Le Duc Tho,3.25,3.0,2.222,3.0,3.5
Lech Wałęsa,3.5,3.444,2.667,2.25,3.2
Lee Tai-young,3.125,3.889,3.333,3.5,3.1
Leonidas Proaño,3.25,2.889,2.778,3.25,2.7
Lester B. Pearson,4.125,3.889,2.778,4.125,3.0
Leymah Roberta Gbowee,3.25,3.222,3.667,2.625,3.3
Liang Congjie,3.25,3.0,3.222,2.625,2.5
Ligaya Fernando-Amilbangsa,2.375,3.222,3.444,2.5,3.2
Liisa Kauppinen,2.25,3.889,2.889,3.875,3.4
Lim Kim San,3.125,3.556,3.0,2.625,2.1
Lin Hwai-min,3.75,3.222,3.667,2.25,2.8
Lino Brocka,3.125,2.778,3.222,3.625,3.7
Linus Pauling,3.75,3.556,3.778,3.125,2.7
Liu Xiaobo,1.5,4.222,2.778,2.125,3.0
Louis Renault,3.5,3.111,2.889,2.875,2.9
Louise Arbour,2.375,4.333,3.556,2.0,3.2
Ludwig Quidde,3.0,3.556,3.556,2.125,3.0
Léon Bourgeois,2.375,2.444,3.556,2.375,2.7
Léon Jouhaux,2.0,2.111,2.778,2.25,3.7
M. S. Subbulakshmi,3.5,3.333,4.0,2.0,4.0
M. S. Swaminathan,3.625,3.778,2.556,3.0,4.2
Ma Jun,3.0,3.444,3.333,2.75,2.4
Mabelle Arole,3.375,3.556,3.667,3.125,3.0
Mahabir Pun,3.625,2.778,2.778,3.125,2.2
Mahasweta Devi,4.0,3.222,2.778,3.0,3.0
Mahesh Chandra Mehta,2.75,2.333,3.667,3.0,2.5
Mahesh Chandra Regmi,4.0,3.0,2.667,1.625,2.2
Mairead Maguire,3.75,2.111,3.0,2.25,1.7
Malala Yousafzai,2.5,2.556,2.889,2.375,3.5
Mandakini Amte,2.375,3.111,2.444,3.5,2.5
Manibhai Desai,2.25,4.0,2.778,2.5,2.0
Manna Dey,3.125,3.556,3.0,2.625,3.2
Manuel Bianchi Gundián,3.0,2.889,2.111,2.125,2.3
Marcelline Jayakody,3.75,3.444,3.222,2.375,1.7
Maria Ressa,3.0,3.111,3.222,4.25,2.4
Maria de Lourdes Martins Cruz,2.25,2.556,2.444,2.25,2.4
Martin Luther King Jr.,2.625,3.667,2.444,2.25,3.7
Martti Ahtisaari,3.625,2.667,2.778,2.75,2.4
Mary Rutnam,3.0,2.667,3.111,3.375,3.2
María Lavalle Urbina,2.875,4.333,2.222,2.75,3.5
Masanobu Fukuoka,2.625,3.333,3.111,3.25,3.1
Matiur Rahman,3.5,2.333,3.111,2.75,1.4
Mechai Viravaidya,3.5,2.667,3.444,2.125,3.6
Mehrangiz Manoochehrian,2.875,3.889,3.111,3.125,2.6
Menachem Begin,3.25,4.0,2.556,3.375,3.3
Michiko Ishimure,3.25,4.111,2.778,3.0,3.6
Mikhail Gorbachev,3.875,2.556,2.444,3.625,3.2
Miriam Defensor Santiago,2.125,4.222,3.444,1.75,2.3
Mochtar Lubis,3.25,2.889,3.889,3.0,3.9
Mohamed ElBaradei,3.75,2.444,2.556,3.125,1.7
Mohamed Suffian Mohamed Hashim,2.25,2.778,3.222,2.625,3.4
Morihiko Hiramatsu,2.125,2.667,2.778,2.125,2.8
Mother Teresa,3.0,2.889,2.889,3.0,3.2
Muhammad Yunus,3.25,3.111,2.778,2.75,2.1
Nadia Murad Basee,3.25,2.444,3.444,2.875,2.5
Narges Mohammadi,2.125,3.333,2.889,2.625,2.8
Nathan Söderblom,1.125,3.333,3.333,2.25,2.9
Ne Win,2.0,3.333,3.0,2.5,3.0
Nelson Mandela,2.125,2.889,3.222,2.5,3.9
Nelson Rockefeller,2.5,2.889,2.444,3.125,3.5
Nguyen Lac Hoa,3.625,3.111,2.556,2.0,3.0
Nicholas Murray Butler,3.625,3.778,2.778,3.5,3.2
Nick Joaquin,3.0,2.333,2.444,2.5,2.8
Nilawan Pintong,3.0,3.333,2.778,2.125,2.1
Nileema Mishra,3.5,3.556,2.111,2.375,2.3
Noboru Iwamura,4.125,2.444,3.778,2.5,3.4
Norman Angell,2.875,2.667,2.667,2.625,2.6
Norman Borlaug,3.0,2.667,3.889,4.25,3.2
Omara Khan Massoudi,3.5,3.889,2.556,2.0,2.0
Oung Chanthol,2.75,2.778,2.778,3.25,3.2
P. K. Sethi,3.5,3.0,3.333,2.875,2.9
Pablo Torres Tapia,3.625,3.333,2.889,2.75,3.7
Palagummi Sainath,2.25,2.778,2.778,2.75,3.1
Palayil Narayanan,3.0,3.333,4.111,2.5,3.6
Pan Yue,3.125,3.0,2.0,3.75,2.6
Pandurang Shastri Athavale,4.25,3.444,2.778,2.125,3.3
Park Won-soon,3.75,3.444,2.333,2.375,4.3
Patrick James McGlinchey,3.0,4.111,3.667,1.5,2.2
Paul-Henri-Benjamin d'Estournelles de Constant,2.125,2.667,3.222,2.0,2.8
Pedro Orata,4.375,2.667,2.444,3.5,2.9
Petr Emelyanovich Nedbailo,2.875,3.0,2.333,3.875,3.5
"Philip Noel-Baker, Baron Noel-Baker",2.75,3.444,2.111,2.75,2.8
Phon Sangsingkeo,2.625,2.333,3.556,2.5,2.9
Pomnyun,3.75,2.333,1.444,3.125,2.7
Prakash Amte,4.0,2.667,3.778,3.375,3.3
Pramoedya Ananta Toer,3.0,3.778,2.778,2.875,2.0
Prateep Ungsongtham Hata,2.75,3.222,4.778,2.25,4.1
Prawase Wasi,2.75,3.111,3.222,1.625,3.1
Prayoon Chanyavongs,1.75,3.556,2.333,1.625,2.6
Prince Sadruddin Aga Khan,2.625,3.667,3.556,3.0,2.3
Puey Ungpakorn,4.0,3.333,3.222,2.625,3.9
R. K. Laxman,3.375,3.667,3.222,2.75,4.0
Ra'ana Liaquat Ali Khan,2.125,4.444,3.111,2.5,2.2
Raden Kodijat,4.25,3.222,2.444,3.0,3.2
Raja Muhammad Alias,2.625,3.667,2.667,1.875,2.8
Rajanikant Arole,2.875,3.111,3.0,3.375,2.7
Rajendra Singh,3.125,2.778,2.778,2.125,1.8
Ralph Bunche,3.0,3.0,3.222,2.875,3.5
Ramsey Clark,3.125,3.222,2.667,3.0,1.3
Randal Cremer,2.25,2.444,4.0,2.875,3.3
Randy Halasan,2.5,2.444,2.667,3.25,2.9
Ravi Shankar,3.25,2.667,2.556,3.5,2.8
Ravish Kumar,3.875,2.0,3.556,2.875,3.3
René Cassin,2.5,1.556,3.333,2.875,3.0
Richard William Timm,3.375,2.778,2.333,2.875,2.6
Rigoberta Menchú,3.125,2.222,4.111,3.25,2.8
Rizwana Hasan,3.5,3.0,3.444,2.125,2.8
Robert Cecil,2.625,3.667,2.556,3.625,2.3
Romulo Davide,3.125,3.778,3.111,2.125,2.6
Rosa Rosal,2.75,3.444,2.889,3.375,2.8
Ruth Pfau,3.25,3.0,2.444,3.625,2.5
Saburo Okita,3.125,2.889,2.778,2.375,2.3
Sadako Ogata,2.0,2.444,2.778,2.25,2.7
Sandeep Pandey,2.5,2.444,2.444,3.75,2.6
Sanduk Ruit,2.625,3.667,3.778,3.0,2.8
Sanjiv Chaturvedi,2.625,3.444,2.667,2.375,2.3
Satyajit Ray,4.25,2.444,3.444,2.75,3.5
Schulamit König,2.375,2.778,3.0,3.5,3.1
Seewoosagur Ramgoolam,3.125,3.333,3.0,2.5,2.1
Seiei Tōyama,3.125,2.778,2.222,1.375,2.5
Seiichi Tobata,3.0,3.889,3.333,2.375,2.5
Seán MacBride,2.0,3.0,3.111,2.125,2.7
Shahrum bin Yub,3.625,4.0,3.333,3.5,2.7
Shantha Sinha,2.625,2.333,2.889,3.375,2.5
Sheila Coronel,2.25,3.111,3.111,1.125,3.0
Shigeharu Matsumoto,2.875,2.556,3.667,2.25,3.2
Shimon Peres,3.375,3.778,2.333,3.375,2.9
Shirin Ebadi,2.375,3.444,2.0,3.0,3.2
Shiroshi Nasu,2.875,2.444,2.556,2.875,3.3
Shoaib Sultan Khan,3.0,2.444,2.889,2.125,2.8
Sima Samar,1.875,1.333,3.0,3.25,3.0
"Sirindhorn, Princess Royal",2.625,3.556,2.111,2.625,2.9
Sithiporn Kridakara,3.625,3.333,3.111,3.0,3.6
Soedjatmoko,2.875,3.778,1.889,3.0,3.8
Sombath Somphone,2.75,3.778,2.778,2.5,2.5
Sombhu Mitra,2.75,2.444,2.556,3.25,3.2
Sonam Wangchuk,3.625,3.778,3.222,2.625,2.5
Sonia Picado Sotela,2.625,2.444,3.222,1.875,2.7
Sophon Supapong,2.0,2.889,2.778,3.0,2.3
Su Nan-cheng,2.0,1.778,2.333,2.375,2.7
Sunila Abeysekera,3.125,2.333,3.222,2.75,3.6
Swe Win,2.5,2.0,3.556,2.5,2.5
Sérgio Vieira de Mello,2.5,2.889,2.778,2.5,3.4
T. M. Krishna,3.0,3.111,3.111,2.875,3.3
T. N. Seshan,3.5,3.111,2.556,2.75,3.0
Ta-You Wu,3.0,2.222,3.111,1.125,2.6
Tadatoshi Akiba,3.0,3.778,3.0,3.0,3.5
Taha Hussein,3.25,3.222,2.444,2.875,1.8
Tahrunessa Abdullah,2.25,3.556,2.667,2.75,2.9
Tang Xiyang,2.25,3.333,2.778,1.875,2.1
Tarzie Vittachi,3.625,3.222,3.222,3.75,3.0
Tawakkol Karman,2.625,3.556,2.444,2.75,3.8
Tee Tee Luce,3.375,4.0,2.556,2.0,3.6
Tenzin Gyatso,3.125,3.333,2.111,2.75,2.7
Teten Masduki,3.0,2.778,2.667,2.125,2.7
Tetsu Nakamura,2.375,3.333,3.222,3.25,3.7
Theodore Roosevelt,2.375,3.222,3.778,3.75,2.7
Therdchai Jivacate,3.875,3.222,3.0,3.5,1.9
Timothy Conigrave,3.0,2.667,2.222,2.625,2.6
Tobias Asser,2.75,3.778,3.222,3.125,2.6
Ton That Thien,3.0,3.222,2.333,1.5,2.1
Tony Meloto,2.0,3.111,3.0,3.0,2.2
Tony Tay,3.5,2.889,3.111,2.625,2.5
Toshihiro Takami,2.75,2.222,2.778,1.375,2.2
Toshikazu Wakatsuki,4.0,1.889,3.222,2.375,3.0
Tri Mumpuni,2.5,3.333,3.556,2.625,2.5
Tribhuvandas Kishibhai Patel,3.0,2.222,3.222,2.375,2.8
Tunku Abdul Rahman,2.5,3.222,2.667,2.625,3.0
U Thant,1.875,3.444,3.667,2.375,2.2
V Shanta,3.125,3.556,3.333,2.375,3.0
Verghese Kurien,2.625,3.889,2.333,2.625,1.8
Vinoba Bhave,3.125,3.0,2.556,2.75,3.8
Vo Tong Xuan,2.25,3.111,2.444,2.0,3.6
Václav Havel,4.125,2.667,3.333,3.875,2.9
W. D. Amaradeva,2.5,3.444,3.0,3.5,2.8
Wahiduddin Khan,2.625,3.111,3.111,1.5,3.3
Wang Canfa,2.625,2.667,3.222,2.875,2.4
Wangari Muta Maathai,3.625,3.222,2.444,2.375,3.0
Washington SyCip,4.375,3.111,3.333,2.625,3.4
Welthy Honsinger Fisher,3.75,2.0,3.333,1.875,2.3
Wilfred Jenks,3.25,3.0,2.222,2.375,3.0
William Masterson,3.5,3.222,2.889,3.0,2.9
Willy Brandt,4.0,3.778,3.889,2.25,3.7
Winnie Madikizela-Mandela,2.5,2.889,3.667,3.0,2.3
Woodrow Wilson,2.75,3.222,3.0,4.125,3.2
Wu Qing,3.375,2.222,2.111,3.0,2.5
Y. C. James Yen,3.25,3.111,3.333,2.25,2.2
Yang Saing Koma,2.875,2.444,2.333,3.125,2.5
Yasser Arafat,2.0,2.778,2.889,3.25,3.8
Yasuji Hanamori,3.875,3.778,3.444,2.375,3.0
Yi Cheol-seung,2.875,3.889,2.667,3.0,2.0
Ying Ruocheng,2.125,4.556,3.778,3.0,2.9
Yizhak Rabin,2.625,3.556,2.889,2.0,2.8
Yoon Hye-ran,2.5,3.667,2.667,2.125,2.5
Yoshiaki Ishizawa,3.125,3.333,3.0,3.375,2.6
Youk Chhang,3.25,2.111,2.444,1.875,2.0
Yu Xiaogang,2.875,2.333,3.222,1.875,2.5
Yuan Longping,3.125,2.778,3.556,3.0,3.6
Yukiharu Miki,2.25,3.444,2.667,1.625,2.9
Zacarias Sarian,3.125,3.111,3.222,3.375,2.4
Zafrullah Chowdhury,2.75,3.444,3.333,3.125,3.2
Zakiah Hanum Abd Hamid,2.375,4.444,2.0,2.375,2.2
