Name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Élie Ducommun,3.25,3.556,3.222,2.375,3.0
Óscar Arias Sánchez,4.125,3.444,3.667,3.0,2.2
A. T. Ariyaratne,3.0,3.556,4.111,1.875,3.6
A.H.M. Noman Khan,3.875,3.556,4.111,3.0,4.3
Abdon Nababan,3.0,3.778,3.0,3.0,3.8
Abdul Razak Hussein,2.375,2.889,3.667,3.625,3.2
Abdul Samad Ismail,4.125,3.333,4.0,3.375,3.1
Abdul Sattar Edhi,2.75,3.0,3.222,3.125,3.1
Abdullah Abu Sayeed,3.75,3.222,4.222,3.5,2.4
Abdurrahman Wahid,3.5,3.889,3.0,3.375,4.0
Abel Muzorewa,2.5,3.111,3.222,2.625,3.1
Abiy Ahmed Ali,3.625,2.111,3.556,2.375,4.0
Adam Łopatka,3.625,4.0,3.889,2.875,3.0
Adeebul Hasan Rizvi,3.5,3.667,3.111,3.125,2.4
Adolfo Pérez Esquivel,3.375,2.889,4.0,2.375,2.7
Ahmad Syafi'i Maarif,3.625,3.444,2.556,3.75,3.5
Akhtar Hameed Khan,3.25,2.778,2.778,3.125,3.4
Akira Kurosawa,2.75,4.222,2.444,1.75,3.3
Al Gore,4.375,4.0,3.667,3.0,4.1
Albert John Mvumbi Luthuli,3.625,4.111,3.667,2.875,2.0
Albert Schweitzer,3.625,3.111,2.778,3.25,3.4
Ales Bialiatski,2.375,3.778,3.444,2.125,4.0
Alfonso García Robles,3.5,2.667,3.556,1.875,3.1
Alfred Hermann Fried,3.0,4.333,2.889,2.0,2.4
Alfredo Bengzon,2.75,1.667,2.889,2.875,3.3
Ali Sadikin,3.0,2.778,3.0,2.25,3.4
Aloysius Schwartz,4.125,1.889,3.333,2.625,4.0
Alva Myrdal,3.5,3.556,3.333,4.0,3.1
Ambrosius Ruwindrijarto,3.875,3.333,3.667,2.625,3.5
Amitabha Chowdhury,3.875,2.889,3.333,3.75,3.4
Anand Panyarachun,3.25,4.333,3.778,3.5,2.6
Ananda Galappatti,3.75,3.444,3.0,2.875,3.7
Andrei Sakharov,2.25,3.778,2.889,2.125,2.6
Angel Alcala,4.25,3.556,3.778,1.75,3.0
Angela Gomes,3.125,3.111,3.222,1.875,3.4
Angelina Acheng Atyam,4.0,2.444,2.222,2.25,3.9
Angkhana Neelaphaijit,2.375,3.333,3.556,3.75,2.7
Aniceto Guterres Lopes,3.25,3.556,2.667,2.5,3.4
Anna Šabatová,3.625,4.556,3.667,2.75,3.1
Anshu Gupta,2.875,3.778,3.333,3.25,3.7
Anton Soedjarwo,3.0,2.889,3.222,3.25,3.1
Antonio Fortich,3.75,2.556,2.667,3.5,3.6
Antonio Oposa,3.25,3.222,3.333,2.875,2.8
Anwar Sadat,2.625,3.778,3.556,3.375,2.9
Aristide Briand,3.25,3.556,2.667,1.75,2.7
Arthur Henderson,3.625,3.444,2.0,3.25,2.7
Arturo Alcaraz,3.125,4.333,3.0,3.625,3.6
Arun Shourie,3.5,3.667,3.667,2.75,3.5
Aruna Roy,4.0,1.889,3.222,2.625,3.0
Arvind Kejriwal,3.125,2.889,3.778,2.75,2.4
Asma Jahangir,1.75,3.556,3.444,3.0,3.2
Atmakusumah Astraatmadja,3.625,3.333,3.111,3.5,3.2
Auguste Beernaert,3.0,3.667,3.333,3.0,3.8
Augustine Joung Kang,3.75,3.778,2.889,2.875,2.3
Aung San Suu Kyi,4.5,3.222,2.111,3.625,3.0
Austen Chamberlain,2.875,2.889,3.111,3.0,3.7
B. C. Shekhar,3.75,2.889,3.222,3.375,3.1
B. G. Verghese,3.0,3.778,4.111,2.25,3.4
Baba Amte,3.625,3.0,4.111,1.75,4.1
Banoo Jehangir Coyaji,3.0,3.111,3.889,2.375,3.9
Barack Obama,3.0,3.667,2.778,2.5,3.0
Benazir Bhutto,4.375,3.111,3.556,3.25,3.5
Benjamin Abadiano,2.75,3.222,2.889,2.75,3.5
Benjamin Galstaun,3.625,2.667,3.667,2.25,2.9
Bertha von Suttner,4.375,3.444,3.222,3.5,4.2
Betty Williams,3.375,4.111,2.556,3.625,2.7
Bezwada Wilson,3.5,3.222,3.778,3.375,3.1
Bharat Koirala,2.5,2.667,4.111,3.375,3.0
Bharat Vatwani,2.0,3.222,2.556,2.125,3.0
Bienvenido Lumbera,2.875,3.667,4.0,2.375,3.0
Bilquis Edhi,3.25,2.222,3.778,3.125,3.2
Biram Dah Abeid,4.625,3.333,2.667,2.75,4.1
Butet Manurung,3.5,4.111,3.222,3.625,3.4
Carl von Ossietzky,3.0,2.889,2.667,2.375,2.7
Carlos Filipe Ximenes Belo,3.125,2.0,2.0,2.0,3.0
Carlos Saavedra Lamas,3.375,3.556,3.222,2.75,4.1
Carolyn Gomes,2.625,4.0,3.111,3.0,1.9
Chamlong Srimuang,3.0,4.556,3.0,2.5,2.3
Chandi Prasad Bhatt,3.25,3.111,3.556,3.125,3.6
Chang Chun-ha,3.0,2.778,3.778,3.875,4.2
Chang Kee-ryo,1.875,3.889,2.333,2.75,3.7
Charles Albert Gobat,3.5,3.222,3.667,3.125,2.9
Charles G. Dawes,2.5,3.333,3.667,3.5,3.0
Chen Guangcheng,4.375,2.333,4.0,2.5,3.8
Chen Shu-chu,2.75,2.667,4.111,3.875,4.1
Cheng Yen,2.5,3.111,3.556,2.125,2.4
Chintaman Dwarkanath Deshmukh,2.75,3.333,3.778,3.5,2.7
Christian Lous Lange,3.25,3.0,3.444,2.25,4.0
Christopher Bernido,3.125,3.111,3.111,3.75,3.3
Chung To,3.875,1.889,2.333,3.75,2.9
Conchita Carpio-Morales,3.375,2.778,2.778,2.375,2.4
Corazon Aquino,3.875,3.222,3.667,2.625,2.3
Cordell Hull,3.5,2.556,3.333,1.875,3.2
Coretta Scott King,3.625,3.556,3.667,2.5,3.8
Cynthia Maung,2.625,3.222,4.222,3.5,4.1
Dag Hammarskjöld,3.0,3.556,2.778,2.25,3.9
Dara Nusserwanji Khurody,2.75,3.333,2.222,3.0,2.6
David Trimble,3.25,4.333,4.667,2.75,3.5
Deep Joshi,3.0,2.778,3.333,2.125,3.5
Deng Pufang,4.375,3.556,3.111,2.75,3.7
Denis Mukwege,3.125,3.111,3.556,2.75,2.9
Desmond Tutu,2.625,3.667,2.333,4.0,2.7
Dita Indah Sari,3.625,3.333,2.333,3.375,2.2
Dmitry Muratov,3.5,4.0,3.778,3.0,2.8
Dominique Pire,2.875,3.556,2.889,3.125,2.7
Dorothy Stang,4.0,3.111,3.667,2.875,2.6
Ediriweera Sarachchandra,3.25,3.444,3.111,2.875,4.0
Eduardo Jorge Anzorena,2.375,2.778,3.0,2.25,3.2
Edward Michael Law-Yone,2.625,4.111,2.889,4.0,2.7
Eisaku Satō,2.75,3.111,3.556,3.875,3.1
Ela Bhatt,2.75,3.444,2.889,2.625,4.1
Eleanor Roosevelt,2.875,3.222,3.333,2.75,3.5
Elie Wiesel,2.0,4.0,3.0,3.125,4.5
Elihu Root,3.75,3.667,2.444,2.5,4.0
Ellen Johnson Sirleaf,2.5,2.556,4.333,3.0,2.9
Elsie Tu,2.25,3.444,3.444,3.75,2.9
Emily Greene Balch,2.0,3.0,2.889,2.875,3.2
Erica-Irene Daes,2.5,3.333,4.222,3.25,2.9
Ernesto Domingo,3.5,3.222,2.778,2.75,2.9
Ernesto Teodoro Moneta,4.0,2.444,3.444,2.25,3.4
Estela Barnes de Carlotto,4.0,2.222,3.556,3.125,3.7
Eugenia Apostol,4.125,2.778,3.667,3.0,3.1
F. Sionil José,2.75,4.0,2.889,2.375,4.2
F. W. de Klerk,3.125,2.889,2.111,1.625,3.9
Fazle Hasan Abed,4.0,2.667,2.222,3.5,2.9
Fe del Mundo,2.0,3.889,3.444,2.125,3.7
Fei Xiaotong,2.375,3.0,3.222,3.0,2.9
Ferdinand Buisson,2.375,3.444,4.222,3.125,3.7
Firdausi Qadri,3.0,3.111,4.0,3.5,3.8
Francisca Reyes-Aquino,3.125,3.0,3.667,2.875,2.2
Frank B. Kellogg,4.125,2.889,2.556,3.25,3.5
Fredrik Bajer,3.5,3.111,3.889,3.25,3.6
Fridtjof Nansen,3.625,2.889,3.222,3.0,4.4
Frédéric Passy,3.0,3.111,2.667,1.75,3.7
Fu Qiping,3.0,3.667,3.0,3.375,2.6
Fua Haripitak,3.75,4.0,2.556,2.25,3.3
Fusae Ichikawa,3.75,4.0,2.889,3.625,3.4
Ganesh Man Singh,2.25,4.444,3.556,2.25,4.0
Gao Yaojie,2.5,3.444,3.556,2.5,2.9
Genevieve Caulfield,3.375,3.444,2.444,2.625,4.0
George Marshall,4.125,3.333,3.0,3.0,3.9
Gerhard Fischer,2.875,3.778,2.333,2.75,2.8
Gethsie Shanmugam,3.75,3.0,3.889,3.0,2.1
Goh Keng Swee,2.375,3.778,3.222,3.5,3.4
Gour Kishore Ghosh,1.875,3.111,3.667,3.75,4.0
Grace Padaca,3.25,3.333,3.333,3.0,3.3
Gus Borgeest,3.875,4.222,2.889,2.75,3.6
Gustav Stresemann,3.25,3.889,4.444,3.125,3.5
HB Jassin,3.25,2.556,1.778,2.625,3.8
Habiba Sarābi,3.75,3.556,3.222,2.0,4.0
Hans Westenberg,3.25,2.889,3.333,3.0,4.1
Harish Hande,3.5,3.222,3.778,3.375,3.7
Harold Ray Watson,2.5,4.111,2.222,3.75,4.1
Hasanain Juaini,3.625,3.444,2.444,2.0,4.1
Hassib Ben Ammar,2.5,3.667,3.667,1.875,4.0
Haydee Yorac,3.75,3.111,3.222,3.0,3.1
Helen Kim,2.375,3.222,2.222,2.25,3.2
Helen Suzman,2.375,3.0,2.333,2.625,2.9
Henning Holck-Larsen,3.75,3.556,3.667,2.625,3.4
Henri La Fontaine,2.5,4.222,3.667,2.5,3.0
Henry Dunant,4.375,3.667,4.222,3.5,4.1
Henry Holland,2.75,2.667,3.0,3.875,3.1
Henry Kissinger,2.875,2.444,2.556,2.75,3.2
"Hilario Davide, Jr.",3.625,3.667,3.333,3.625,3.3
Hiljmnijeta Apuk,3.0,3.111,3.556,3.375,2.5
Hiroshi Kuroki,3.875,4.222,4.0,1.5,3.2
Hjalmar Branting,3.625,3.556,2.111,2.5,2.5
Horace Kadoorie,3.0,3.889,3.556,3.125,3.7
Howard Dee,3.0,2.889,4.111,2.375,3.5
Hsu Shih-chu,2.0,4.333,3.667,2.75,2.9
Hu Shuli,3.5,3.667,3.0,2.75,3.6
Huo Daishan,3.25,4.444,3.889,3.375,2.7
Ibn Abdur Rehman,4.875,3.444,3.333,2.375,3.8
Ikuo Hirayama,3.0,3.556,3.333,3.375,3.7
James B. Reuter,3.75,3.333,3.333,2.375,3.9
James Michael Lyngdoh,3.5,3.556,3.556,3.625,2.9
James P. Grant,3.125,3.778,3.556,2.75,3.4
Jane Addams,3.25,2.889,2.333,2.875,4.1
Jayaprakash Narayan,4.5,2.778,3.444,2.625,3.6
Jesse Robredo,3.375,3.333,2.778,3.25,3.1
Jiang Yanyong,3.5,3.222,3.667,3.625,3.7
Jimmy Carter,2.875,3.111,3.444,2.375,3.2
Jirō Kawakita,3.5,3.333,2.778,2.75,3.7
Jockin Arputham,2.375,4.111,3.889,2.5,2.6
Jody Williams,2.875,4.111,2.667,2.5,2.9
John Boyd Orr,4.0,2.889,3.111,3.5,3.6
John Hume,3.25,3.0,3.111,2.25,3.5
John Mott,2.625,3.556,2.778,3.75,3.8
John Peters Humphrey,3.0,3.889,3.444,3.125,4.0
Jon Ungpakorn,2.5,3.111,2.778,1.875,3.3
Jose Vasquez Aguilar,3.75,3.333,3.222,3.125,4.5
Joseph Rotblat,2.0,3.444,2.889,2.375,2.7
José Gregori,2.125,4.111,3.222,2.875,3.0
José Ramos-Horta,2.75,3.444,4.0,3.25,2.0
Jovito R. Salonga,4.125,2.667,4.222,2.125,2.7
Joênia Wapichana,2.5,3.444,2.778,3.625,2.5
Juan Manuel Santos,3.125,3.222,3.556,3.125,3.9
Julienne Lusenge,2.75,3.111,4.778,1.625,3.6
Julio Tumiri Javier,3.0,3.667,3.111,2.75,3.4
Julius Nyerere,3.375,3.111,4.0,2.875,2.7
K. V. Subbanna,3.875,2.444,3.333,2.5,3.6
Ka Hsaw Wa,2.625,3.222,3.0,3.625,2.6
Kailash Satyarthi,2.625,3.556,3.111,2.75,3.3
Kamaladevi Chattopadhyay,2.875,2.778,3.222,1.625,3.6
Kayser Sung,3.75,4.0,3.667,2.625,3.0
Keo Viphakone,3.5,3.778,2.889,3.0,2.9
Khadija Ryadi,3.25,2.333,3.333,3.25,3.3
Kim Dae-jung,3.75,3.333,2.889,2.875,3.5
Kim Sun-tae,2.625,3.333,3.111,3.0,3.5
Kim Yong-ki,3.25,3.111,2.444,3.625,3.4
Kiran Bedi,3.875,3.778,4.444,1.875,3.1
Klas Pontus Arnoldson,3.25,2.778,4.222,3.375,4.0
Kofi Annan,2.75,3.556,4.222,3.875,2.6
Kommaly Chanthavong,3.5,3.889,3.667,3.0,3.8
Koul Panha,3.625,3.667,3.667,3.5,3.9
Krasae Chanawongse,3.5,2.333,3.111,2.25,4.0
Krisana Kraisintu,3.25,3.222,3.444,3.375,3.0
Kulandei Francis,1.75,3.333,3.444,2.75,3.8
Kwoh-Ting Li,4.0,3.222,3.111,1.125,3.5
Kyaw Thu,1.5,3.333,3.0,2.5,4.2
LaSalle Ishii,3.25,3.667,3.111,3.625,3.7
Lahpai Seng Raw,2.875,3.778,3.111,2.25,2.8
Lakshmi Chand Jain,3.75,3.556,4.556,2.375,3.6
"Lawrence Kadoorie, Baron Kadoorie",4.625,2.333,3.889,3.375,3.4
Laxminarayan Ramdas,2.75,3.222,3.111,3.5,3.0
Le Duc Tho,3.5,2.778,3.111,2.125,3.6
Lech Wałęsa,3.25,3.0,3.0,2.875,4.1
Lee Tai-young,2.0,3.556,2.889,4.125,2.9
Leonidas Proaño,4.0,2.556,3.556,2.875,3.5
Lester B. Pearson,2.75,2.889,3.667,3.75,3.6
Leymah Roberta Gbowee,4.125,3.333,3.556,3.0,2.6
Liang Congjie,3.5,3.667,3.778,2.75,3.9
Ligaya Fernando-Amilbangsa,3.375,4.0,4.0,3.75,3.6
Liisa Kauppinen,2.75,4.0,3.333,3.0,3.2
Lim Kim San,3.25,3.0,2.556,2.5,2.6
Lin Hwai-min,3.375,3.0,4.333,3.0,3.6
Lino Brocka,3.625,3.333,3.333,3.5,3.0
Linus Pauling,2.625,2.667,3.222,3.25,3.7
Liu Xiaobo,2.125,3.556,2.889,3.0,2.4
Louis Renault,4.125,3.778,3.0,2.25,3.6
Louise Arbour,2.5,2.667,3.111,3.375,3.6
Ludwig Quidde,3.25,3.0,3.0,3.125,4.7
Léon Bourgeois,3.375,3.778,2.222,2.625,4.3
Léon Jouhaux,4.875,3.778,3.333,4.0,3.3
M. S. Subbulakshmi,3.25,4.111,2.778,4.375,2.5
M. S. Swaminathan,2.25,3.667,4.111,2.5,4.4
Ma Jun,3.75,2.556,3.111,3.25,4.3
Mabelle Arole,4.25,3.222,4.111,3.125,3.2
Mahabir Pun,2.125,2.444,2.778,2.625,2.7
Mahasweta Devi,2.75,3.333,4.0,2.5,3.4
Mahesh Chandra Mehta,4.125,2.556,3.556,3.0,4.0
Mahesh Chandra Regmi,4.0,4.0,3.111,2.625,3.5
Mairead Maguire,4.0,4.222,3.667,3.75,3.0
Malala Yousafzai,3.875,3.222,2.222,3.75,3.6
Mandakini Amte,3.625,2.667,2.778,2.25,2.5
Manibhai Desai,3.0,1.889,3.778,2.75,4.2
Manna Dey,3.625,3.444,3.222,3.25,2.3
Manuel Bianchi Gundián,3.0,3.667,3.444,3.125,3.6
Marcelline Jayakody,2.75,3.667,2.778,2.25,3.7
Maria Ressa,2.875,2.889,3.444,3.0,3.2
Maria de Lourdes Martins Cruz,2.625,2.889,2.667,2.875,4.3
Martin Luther King Jr.,2.375,3.222,4.222,3.0,3.2
Martti Ahtisaari,4.5,3.778,3.222,2.375,3.5
Mary Rutnam,2.25,3.111,3.0,4.125,3.7
María Lavalle Urbina,2.5,4.0,4.333,2.0,3.2
Masanobu Fukuoka,3.0,2.556,4.333,2.5,3.8
Matiur Rahman,3.625,3.556,3.778,3.125,3.7
Mechai Viravaidya,4.25,3.556,3.333,2.5,4.0
Mehrangiz Manoochehrian,2.5,2.778,4.0,2.875,3.4
Menachem Begin,2.875,4.222,3.0,3.625,2.7
Michiko Ishimure,3.125,3.111,3.444,2.0,3.2
Mikhail Gorbachev,3.0,3.111,2.444,3.5,3.6
Miriam Defensor Santiago,3.0,2.556,3.556,2.75,3.1
Mochtar Lubis,3.5,2.889,3.889,4.5,3.4
Mohamed ElBaradei,2.75,3.0,3.333,3.125,4.2
Mohamed Suffian Mohamed Hashim,3.5,4.0,4.556,2.25,3.2
Morihiko Hiramatsu,3.25,3.444,3.667,3.375,3.4
Mother Teresa,3.125,3.444,3.222,2.875,3.8
Muhammad Yunus,4.125,2.556,2.444,3.125,3.4
Nadia Murad Basee,4.125,4.111,3.556,3.625,3.0
Narges Mohammadi,2.75,2.667,2.778,2.625,4.0
Nathan Söderblom,2.5,2.778,3.667,3.375,2.2
Ne Win,3.25,4.0,4.111,4.375,4.1
Nelson Mandela,2.75,3.778,4.222,3.75,3.1
Nelson Rockefeller,3.375,2.889,3.667,3.125,3.1
Nguyen Lac Hoa,4.375,3.556,2.667,4.5,3.5
Nicholas Murray Butler,3.375,3.778,4.111,2.125,3.7
Nick Joaquin,3.875,3.444,2.556,3.375,2.7
Nilawan Pintong,3.5,2.778,4.0,3.0,2.6
Nileema Mishra,3.75,3.667,2.778,2.125,3.9
Noboru Iwamura,3.5,2.778,3.222,3.125,3.2
Norman Angell,3.0,3.667,3.333,2.625,3.1
Norman Borlaug,3.125,2.111,2.444,3.0,3.2
Omara Khan Massoudi,1.75,2.778,3.778,2.625,2.0
Oung Chanthol,3.5,2.444,2.111,2.625,2.5
P. K. Sethi,3.75,3.333,3.0,3.125,4.6
Pablo Torres Tapia,3.75,2.667,2.444,2.875,3.5
Palagummi Sainath,4.125,2.556,3.111,2.625,3.3
Palayil Narayanan,3.625,3.556,2.889,3.0,3.7
Pan Yue,3.0,3.778,3.889,2.75,3.9
Pandurang Shastri Athavale,3.375,2.889,3.667,2.0,2.5
Park Won-soon,2.25,3.0,3.444,2.375,3.3
Patrick James McGlinchey,3.625,3.111,4.0,2.5,3.9
Paul-Henri-Benjamin d'Estournelles de Constant,3.0,3.889,3.111,3.25,3.8
Pedro Orata,2.25,4.444,3.0,3.5,4.5
Petr Emelyanovich Nedbailo,3.875,3.556,4.0,2.5,3.7
"Philip Noel-Baker, Baron Noel-Baker",3.75,3.0,3.444,1.75,2.4
Phon Sangsingkeo,3.25,3.0,3.778,3.125,4.3
Pomnyun,3.125,2.667,3.333,3.0,3.4
Prakash Amte,3.75,3.889,3.111,2.5,3.6
Pramoedya Ananta Toer,3.875,2.222,2.889,3.125,2.9
Prateep Ungsongtham Hata,2.875,3.556,3.444,2.875,3.3
Prawase Wasi,3.25,3.0,3.0,3.125,3.2
Prayoon Chanyavongs,2.625,2.667,3.333,3.375,3.4
Prince Sadruddin Aga Khan,3.375,2.778,3.556,3.5,3.1
Puey Ungpakorn,2.5,3.444,3.444,2.125,2.6
R. K. Laxman,3.5,4.444,2.778,3.0,3.7
Ra'ana Liaquat Ali Khan,3.875,2.889,3.889,2.375,4.1
Raden Kodijat,4.0,3.667,3.444,1.875,4.0
Raja Muhammad Alias,4.375,2.778,2.444,3.0,3.9
Rajanikant Arole,2.875,3.444,3.222,3.0,3.0
Rajendra Singh,3.0,2.222,4.111,2.875,3.9
Ralph Bunche,3.25,3.0,3.556,2.625,3.6
Ramsey Clark,4.125,2.889,3.667,3.375,2.9
Randal Cremer,3.625,3.333,3.0,4.0,3.0
Randy Halasan,3.625,3.111,3.444,2.875,3.1
Ravi Shankar,3.5,3.111,3.111,3.875,2.8
Ravish Kumar,3.75,3.889,3.778,3.0,3.1
René Cassin,2.625,3.556,3.667,3.25,3.9
Richard William Timm,2.625,3.222,3.111,2.5,4.0
Rigoberta Menchú,4.0,3.111,3.222,2.625,3.7
Rizwana Hasan,3.875,4.111,3.889,2.625,4.0
Robert Cecil,3.0,4.111,2.889,3.375,3.4
Romulo Davide,2.125,2.333,3.889,3.0,4.2
Rosa Rosal,2.125,4.0,3.667,4.125,3.0
Ruth Pfau,3.875,3.778,3.444,3.25,3.6
Saburo Okita,2.25,3.222,3.778,2.875,3.3
Sadako Ogata,3.5,3.0,2.333,3.0,2.2
Sandeep Pandey,4.25,3.0,4.111,2.625,2.5
Sanduk Ruit,2.0,4.0,3.0,2.5,3.2
Sanjiv Chaturvedi,2.25,2.222,3.222,3.25,4.5
Satyajit Ray,3.5,3.556,2.889,2.875,2.7
Schulamit König,3.5,3.333,4.222,2.25,3.7
Seewoosagur Ramgoolam,3.375,3.556,3.333,3.625,3.6
Seiei Tōyama,3.75,3.222,3.556,2.375,2.1
Seiichi Tobata,3.625,2.889,3.333,3.0,3.6
Seán MacBride,2.625,3.0,3.444,3.5,3.3
Shahrum bin Yub,4.125,2.889,3.0,3.0,1.9
Shantha Sinha,3.625,3.667,2.778,3.125,2.9
Sheila Coronel,3.75,2.444,2.889,2.5,4.6
Shigeharu Matsumoto,3.25,3.222,3.556,2.625,4.0
Shimon Peres,3.875,2.889,3.111,2.75,3.2
Shirin Ebadi,2.25,4.0,3.556,2.5,3.6
Shiroshi Nasu,2.25,3.0,3.444,3.375,3.1
Shoaib Sultan Khan,2.0,4.0,3.556,2.5,2.2
Sima Samar,2.75,3.667,3.667,2.625,4.0
"Sirindhorn, Princess Royal",2.5,3.111,4.444,4.375,4.4
Sithiporn Kridakara,2.875,4.0,2.667,3.0,3.5
Soedjatmoko,3.375,3.333,3.0,3.5,3.7
Sombath Somphone,4.375,3.111,3.222,3.875,4.0
Sombhu Mitra,3.5,3.444,2.667,3.875,3.1
Sonam Wangchuk,3.5,3.222,2.889,1.625,3.1
Sonia Picado Sotela,3.5,3.444,3.333,3.0,2.8
Sophon Supapong,3.625,4.667,2.222,2.375,4.0
Su Nan-cheng,4.0,3.444,3.889,3.0,3.9
Sunila Abeysekera,3.875,2.667,3.333,3.25,3.3
Swe Win,4.375,2.667,3.222,3.0,1.8
Sérgio Vieira de Mello,4.375,4.0,2.444,3.625,3.2
T. M. Krishna,3.0,2.0,3.667,3.0,3.1
T. N. Seshan,3.375,3.667,3.111,2.875,3.9
Ta-You Wu,2.5,2.889,3.444,2.75,3.8
Tadatoshi Akiba,3.5,3.778,3.556,3.125,3.4
Taha Hussein,3.125,2.0,2.222,2.625,4.0
Tahrunessa Abdullah,3.75,4.111,3.111,2.5,2.9
Tang Xiyang,3.875,2.556,4.556,2.125,3.5
Tarzie Vittachi,3.0,3.667,2.889,3.375,3.3
Tawakkol Karman,3.0,3.444,2.333,2.5,3.5
Tee Tee Luce,4.0,3.444,3.0,3.875,4.1
Tenzin Gyatso,3.875,3.0,3.111,2.125,3.4
Teten Masduki,3.0,3.444,4.0,3.0,3.4
Tetsu Nakamura,3.0,3.778,2.778,1.625,3.4
Theodore Roosevelt,3.375,2.111,4.0,3.125,2.5
Therdchai Jivacate,2.625,3.222,3.556,3.875,3.2
Timothy Conigrave,2.75,3.667,3.556,2.5,2.9
Tobias Asser,2.625,3.667,3.667,2.875,4.4
Ton That Thien,2.25,2.778,4.0,3.0,3.4
Tony Meloto,3.375,3.444,3.444,2.375,3.2
Tony Tay,1.875,3.111,2.333,3.875,2.8
Toshihiro Takami,3.25,3.778,4.667,3.875,3.5
Toshikazu Wakatsuki,2.25,3.667,4.111,3.25,3.2
Tri Mumpuni,3.25,2.778,2.667,3.25,3.1
Tribhuvandas Kishibhai Patel,2.625,2.667,3.111,3.5,3.1
Tunku Abdul Rahman,3.25,3.444,2.444,1.875,3.2
U Thant,3.375,3.778,3.667,4.0,4.5
V Shanta,2.75,3.0,4.0,2.5,3.6
Verghese Kurien,4.0,3.0,3.333,2.625,2.3
Vinoba Bhave,3.375,3.556,3.0,3.25,3.5
Vo Tong Xuan,4.25,3.222,3.222,2.75,3.1
Václav Havel,3.0,3.667,3.556,3.75,3.8
W. D. Amaradeva,3.25,3.778,3.333,3.125,4.3
Wahiduddin Khan,2.875,3.0,2.778,2.5,3.8
Wang Canfa,2.125,2.667,4.0,3.125,4.2
Wangari Muta Maathai,2.875,3.111,3.111,2.375,3.7
Washington SyCip,2.125,3.111,3.333,3.5,3.5
Welthy Honsinger Fisher,4.0,3.333,3.333,2.75,3.3
Wilfred Jenks,3.25,3.444,4.0,3.0,3.8
William Masterson,2.75,3.889,2.889,3.125,4.0
Willy Brandt,1.5,3.0,2.889,3.25,2.9
Winnie Madikizela-Mandela,3.25,3.778,4.0,2.625,2.9
Woodrow Wilson,3.0,3.444,2.333,3.25,3.7
Wu Qing,2.5,3.333,3.444,2.75,2.9
Y. C. James Yen,2.625,3.333,3.333,2.25,4.6
Yang Saing Koma,4.0,3.889,2.889,2.25,3.7
Yasser Arafat,3.5,2.667,3.778,2.375,3.7
Yasuji Hanamori,3.0,3.444,4.111,3.125,3.4
Yi Cheol-seung,4.125,3.778,4.111,1.875,3.6
Ying Ruocheng,2.375,2.889,3.778,3.25,2.3
Yizhak Rabin,2.375,2.222,3.556,2.625,3.7
Yoon Hye-ran,4.25,3.333,3.0,2.875,2.6
Yoshiaki Ishizawa,2.75,3.111,3.444,2.125,3.3
Youk Chhang,2.0,3.0,3.111,2.875,4.5
Yu Xiaogang,3.0,2.667,2.222,2.375,3.3
Yuan Longping,3.375,3.0,3.889,3.0,4.5
Yukiharu Miki,2.75,3.556,3.333,3.75,3.9
Zacarias Sarian,2.0,4.111,3.556,2.625,4.4
Zafrullah Chowdhury,2.75,4.0,2.667,3.875,2.5
Zakiah Hanum Abd Hamid,2.5,4.0,2.889,3.75,2.6
Élie Ducommun,2.625,3.444,2.778,2.25,3.8
Óscar Arias Sánchez,2.375,2.889,4.444,2.875,3.6
